> Austrailia_1	110	-10
96.594	4.37	96.753	4.353
96.753	4.353	96.814	4.253
96.814	4.253	97.001	4.101
97.001	4.101	97.266	3.946
97.266	3.946	97.514	3.797
97.514	3.797	97.745	3.581
97.745	3.581	97.89	3.399
97.89	3.399	98.019	3.151
98.019	3.151	98.225	2.896
98.225	2.896	98.445	2.64
98.445	2.64	98.732	2.278
98.732	2.278	98.987	1.971
98.987	1.971	99.261	1.518
99.261	1.518	99.394	1.348
99.394	1.348	99.529	1.163
99.529	1.163	99.725	0.949
99.725	0.949	99.999	0.658
99.999	0.658	100.115	0.383
100.115	0.383	100.127	0.199
100.127	0.199	100.233	-0.003
100.233	-0.003	100.224	-0.129
100.224	-0.129	100.445	-0.458
100.445	-0.458	100.467	-0.588
100.467	-0.588	100.576	-0.74
100.576	-0.74	100.706	-1.013
100.706	-1.013	100.896	-1.276
100.896	-1.276	101.18	-1.683
101.18	-1.683	101.267	-1.864
101.267	-1.864	101.57	-2.232
101.57	-2.232	101.5	-2.303
101.5	-2.303	101.625	-2.445
101.625	-2.445	101.815	-2.681
101.815	-2.681	101.973	-2.819
101.973	-2.819	102.215	-3.084
102.215	-3.084	102.343	-3.327
102.343	-3.327	102.456	-3.504
102.456	-3.504	102.662	-3.759
102.662	-3.759	102.843	-3.974
102.843	-3.974	103.268	-4.374
103.268	-4.374	103.419	-4.383
103.419	-4.383	103.591	-4.535
103.591	-4.535	103.84	-4.777
103.84	-4.777	104.281	-5.196
104.281	-5.196	104.561	-5.616
104.561	-5.616	105.916	-6.108
105.916	-6.108	107.383	-6.471
107.383	-6.471	110	-7.00579424157
110	-7.00579424157	110	17.8134104525
> ChinaSea_1	110	19.7526423048
110	19.7526423048	106.404	20.211
106.404	20.211	108.79	17.896
108.79	17.896	108.889	17.795
108.889	17.795	110	17.8134104525
110	17.8134104525	110	19.7526423048
> Myanmar_L_1	98.167	19.921
98.167	19.921	96.251	19.314
96.251	19.314	96.333	18.729
96.333	18.729	96.487	17.8
96.487	17.8	96.508	16.563
96.508	16.563	100.257	17.494
100.257	17.494	101.411	18.462
101.411	18.462	101.898	19.487
101.898	19.487	102.677	20.747
102.677	20.747	103.206	21.73
103.206	21.73	103.181	22.486
103.181	22.486	103.19	23.046
103.19	23.046	102.731	23.241
102.731	23.241	101.968	23.557
101.968	23.557	100.875	25.006
100.875	25.006	100.587	24.698
100.587	24.698	100.035	24.251
100.035	24.251	99.6	23.692
99.6	23.692	99.239	23.239
99.239	23.239	100.281	22.401
100.281	22.401	101.064	21.739
101.064	21.739	99.615	20.792
99.615	20.792	98.167	19.921
> EJAV_1	105.916	-6.108
105.916	-6.108	104.561	-5.616
104.561	-5.616	105.089	-6.716
105.089	-6.716	106.261	-9.324
106.261	-9.324	106.651	-9.554
106.651	-9.554	107.056	-9.756
107.056	-9.756	107.478	-9.925
107.478	-9.925	107.700931034	-10
107.700931034	-10	110	-10
110	-10	110	-7.00579424157
110	-7.00579424157	107.383	-6.471
107.383	-6.471	105.916	-6.108
> SouthChinaBlock_1	102.696876352	30
102.696876352	30	102.228	29.667
102.228	29.667	102.274	29.355
102.274	29.355	102.819	28.583
102.819	28.583	102.948	26.853
102.948	26.853	103.186	26.162
103.186	26.162	103.129	25.228
103.129	25.228	102.97	24.991
102.97	24.991	102.922	24.604
102.922	24.604	102.72	24.276
102.72	24.276	102.731	23.241
102.731	23.241	103.19	23.046
103.19	23.046	103.992	22.517
103.992	22.517	104.665	22.017
104.665	22.017	105.414	21.242
105.414	21.242	106.404	20.211
106.404	20.211	110	19.7526423048
110	19.7526423048	110	30
110	30	102.696876352	30
> BurmanRanges_1	94.544	15.91
94.544	15.91	95.095	15.813
95.095	15.813	95.912	15.534
95.912	15.534	96.406	15.136
96.406	15.136	96.53	15.326
96.53	15.326	96.508	16.563
96.508	16.563	96.487	17.8
96.487	17.8	96.333	18.729
96.333	18.729	96.251	19.314
96.251	19.314	96.173	19.731
96.173	19.731	96.042	20.815
96.042	20.815	95.983	21.374
95.983	21.374	95.971	21.859
95.971	21.859	95.978	22.254
95.978	22.254	95.947	22.603
95.947	22.603	95.968	22.923
95.968	22.923	95.982	23.091
95.982	23.091	96	23.4
96	23.4	96.114	24.361
96.114	24.361	96.36	25.186
96.36	25.186	96.992	26.067
96.992	26.067	97.5	27.087
97.5	27.087	97.603	27.739
97.603	27.739	95.549	26.199
95.549	26.199	95.438	26
95.438	26	95.248	25.774
95.248	25.774	94.994	25.602
94.994	25.602	94.683	25.014
94.683	25.014	94.588	24.779
94.588	24.779	94.174	24.161
94.174	24.161	94.108	24.01
94.108	24.01	94.087	23.761
94.087	23.761	94.021	23.645
94.021	23.645	93.999	23.545
93.999	23.545	93.956	23.232
93.956	23.232	93.966	22.581
93.966	22.581	93.921	22.108
93.921	22.108	93.967	21.736
93.967	21.736	94.025	21.304
94.025	21.304	94.107	20.704
94.107	20.704	94.335	20.221
94.335	20.221	94.478	19.964
94.478	19.964	94.629	19.52
94.629	19.52	94.838	18.968
94.838	18.968	95.008	18.282
95.008	18.282	94.986	18.108
94.986	18.108	94.544	15.91
> southernmost_sliver_1	98.539	22.934
98.539	22.934	98.017	22.795
98.017	22.795	97.188	22.695
97.188	22.695	96.481	22.717
96.481	22.717	95.968	22.923
95.968	22.923	95.947	22.603
95.947	22.603	95.978	22.254
95.978	22.254	95.971	21.859
95.971	21.859	95.983	21.374
95.983	21.374	96.042	20.815
96.042	20.815	96.173	19.731
96.173	19.731	96.251	19.314
96.251	19.314	98.167	19.921
98.167	19.921	99.615	20.792
99.615	20.792	101.064	21.739
101.064	21.739	100.281	22.401
100.281	22.401	99.239	23.239
99.239	23.239	98.539	22.934
> Sumatra_sliver_1	96.109	2.759
96.109	2.759	95.737	2.345
95.737	2.345	95.428	1.933
95.428	1.933	95.725	1.616
95.725	1.616	96.003	1.281
96.003	1.281	96.252	0.923
96.252	0.923	96.498	0.562
96.498	0.562	96.712	0.181
96.712	0.181	96.945	-0.189
96.945	-0.189	97.164	-0.568
97.164	-0.568	97.395	-0.941
97.395	-0.941	97.618	-1.319
97.618	-1.319	97.861	-1.685
97.861	-1.685	98.097	-2.056
98.097	-2.056	98.338	-2.425
98.338	-2.425	98.608	-2.773
98.608	-2.773	98.892	-3.108
98.892	-3.108	99.156	-3.461
99.156	-3.461	99.423	-3.813
99.423	-3.813	99.698	-4.158
99.698	-4.158	99.974	-4.503
99.974	-4.503	100.228	-4.867
100.228	-4.867	100.536	-5.186
100.536	-5.186	100.811	-5.535
100.811	-5.535	101.094	-5.878
101.094	-5.878	101.379	-6.221
101.379	-6.221	101.658	-6.569
101.658	-6.569	101.971	-6.886
101.971	-6.886	102.329	-7.153
102.329	-7.153	102.701	-7.402
102.701	-7.402	103.073	-7.653
103.073	-7.653	103.483	-7.833
103.483	-7.833	103.888	-8.029
103.888	-8.029	104.299	-8.213
104.299	-8.213	104.699	-8.414
104.699	-8.414	105.092	-8.636
105.092	-8.636	105.483	-8.862
105.483	-8.862	105.869	-9.098
105.869	-9.098	106.261	-9.324
106.261	-9.324	105.089	-6.716
105.089	-6.716	104.561	-5.616
104.561	-5.616	104.281	-5.196
104.281	-5.196	103.84	-4.777
103.84	-4.777	103.591	-4.535
103.591	-4.535	103.419	-4.383
103.419	-4.383	103.268	-4.374
103.268	-4.374	102.843	-3.974
102.843	-3.974	102.662	-3.759
102.662	-3.759	102.456	-3.504
102.456	-3.504	102.343	-3.327
102.343	-3.327	102.215	-3.084
102.215	-3.084	101.973	-2.819
101.973	-2.819	101.815	-2.681
101.815	-2.681	101.625	-2.445
101.625	-2.445	101.5	-2.303
101.5	-2.303	101.57	-2.232
101.57	-2.232	101.267	-1.864
101.267	-1.864	101.18	-1.683
101.18	-1.683	100.896	-1.276
100.896	-1.276	100.706	-1.013
100.706	-1.013	100.576	-0.74
100.576	-0.74	100.467	-0.588
100.467	-0.588	100.445	-0.458
100.445	-0.458	100.224	-0.129
100.224	-0.129	100.233	-0.003
100.233	-0.003	100.127	0.199
100.127	0.199	100.009	0.257
100.009	0.257	99.847	0.422
99.847	0.422	99.625	0.604
99.625	0.604	99.495	0.821
99.495	0.821	99.392	1.119
99.392	1.119	99.315	1.342
99.315	1.342	99.261	1.518
99.261	1.518	98.987	1.971
98.987	1.971	98.732	2.278
98.732	2.278	98.445	2.64
98.445	2.64	98.225	2.896
98.225	2.896	98.019	3.151
98.019	3.151	97.89	3.399
97.89	3.399	97.745	3.581
97.745	3.581	97.514	3.797
97.514	3.797	97.266	3.946
97.266	3.946	96.895	3.6
96.895	3.6	96.109	2.759
> 90East_1	101.658	-6.569
101.658	-6.569	101.379	-6.221
101.379	-6.221	101.094	-5.878
101.094	-5.878	100.811	-5.535
100.811	-5.535	100.536	-5.186
100.536	-5.186	100.228	-4.867
100.228	-4.867	99.974	-4.503
99.974	-4.503	99.698	-4.158
99.698	-4.158	99.423	-3.813
99.423	-3.813	99.156	-3.461
99.156	-3.461	98.892	-3.108
98.892	-3.108	98.608	-2.773
98.608	-2.773	98.338	-2.425
98.338	-2.425	98.097	-2.056
98.097	-2.056	97.861	-1.685
97.861	-1.685	97.618	-1.319
97.618	-1.319	97.395	-0.941
97.395	-0.941	97.164	-0.568
97.164	-0.568	96.945	-0.189
96.945	-0.189	96.712	0.181
96.712	0.181	96.498	0.562
96.498	0.562	96.252	0.923
96.252	0.923	96.003	1.281
96.003	1.281	95.725	1.616
95.725	1.616	95.428	1.933
95.428	1.933	95.104	2.221
95.104	2.221	94.415	1.493
94.415	1.493	93.852	0.882
93.852	0.882	93.046	0.549
93.046	0.549	92.241	0.216
92.241	0.216	91.436	-0.117
91.436	-0.117	90.63	-0.45
90.63	-0.45	89.825	-0.783
89.825	-0.783	89.43	-1.179
89.43	-1.179	89.036	-1.574
89.036	-1.574	88.828	-2.271
88.828	-2.271	88.62	-2.969
88.62	-2.969	87.923	-3.529
87.923	-3.529	87.225	-4.088
87.225	-4.088	86.501	-3.716
86.501	-3.716	85.779	-3.344
85.779	-3.344	84.987	-3.181
84.987	-3.181	84.195	-3.017
84.195	-3.017	83.729	-3.225
83.729	-3.225	83.263	-3.433
83.263	-3.433	82.796	-3.641
82.796	-3.641	82.33	-3.848
82.33	-3.848	81.701	-4.031
81.701	-4.031	81.072	-4.213
81.072	-4.213	80.374	-4.393
80.374	-4.393	80	-4.4894469914
80	-4.4894469914	80	-10
