> Eurasia
56.003 39.059
56.507 38.77
57.136 38.424
57.532 38.196
57.948 37.648
58.304 37.226
58.414 36.718
58.858 36.262
59.452 35.964
60.569 35.386
61.948 35.203
61.989 34.61
63.197 34.412
67.767 40.027
69.342 41.239
70.917 42.45
70.422 42.696
69.926 42.941
68.723 43.828
69.356 43.792
71.381 45.985
78.412 47.425
78.722 49.126
79.847 49.257
85.275 48.123
88.031 47.273
88.247 47.236
88.492 47.194
88.977 47.117
89.555 46.998
90.498 46.608
91.069 46.449
91.569 46.258
92.059 46.205
92.36 46.126
92.8 46.067
92.544 46.21
92.248 46.592
91.865 46.95
91.584 47.209
91.293 47.484
90.86 47.909
90.722 48.307
90.375 48.905
90.094 49.443
89.931 49.839
89.844 50.077
89.635 50.458
95.382 51.295
95.92 51.301
96.296 51.308
96.848 51.316
97.821 51.446
98.821 51.417
99.301 51.408
99.887 51.552
100.899 51.733
101.078 51.755
101.675 51.828
101.932 51.835
102.203 51.932
102.474 51.913
102.761 51.872
103.352 51.753
103.862 51.744
104.387 51.82
105.03 51.877
105.31 51.934
105.52 52.177
105.877 52.507
106.265 52.838
106.704 53.054
107.265 53.389
107.781 53.703
108.21 53.952
108.691 54.15
109 54.899
109.375 55.331
109.758 55.762
110.924 56.221
112.305 56.295
113.656 56.418
115.015 56.526
116.382 56.618
117.253 56.802
118.133 56.98
119.021 57.151
119.918 57.316
120.851 57.302
121.784 57.281
122.715 57.254
123.645 57.219
124.573 57.178
125.499 57.13
126.96 56.774
128.393 56.401
129.798 56.013
130.747 55.861
131.688 55.702
132.674 55.491
133.65 55.273
135.138 55.06
136.61 54.83
137.918 54.588
139.211 54.333
140.145 54.103
141.278 54.074
142.409 54.035
142.529 54.406
141.911 58.911
141.362 59.706
141.457 62.5
141.732 64.019
142.189 64.654
142.75 65.721
139.849 67.262
140.425 68.123
140.409 68.825
136.566 70.996
135.354 71.393
134.017 71.865
133.267 72.281
132.483 72.695
131.263 73.371
130.2 74.018
129.595 74.479
128.955 74.938
128.519 75.495
128.05 76.05
127.634 76.642
127.181 77.234
126.457 77.684
125.679 78.133
125.188 78.99
123.408 79.759
122.639 80.206
121.898 80.643
